method,status,error,normal_energy_ratio_mean,normal_energy_ratio_median,normal_energy_ratio_q90,tangent_energy_ratio_mean,tangent_energy_ratio_median,tangent_energy_ratio_q10,local_spectral_gap_mean,local_spectral_gap_median,local_spectral_gap_q10,local_effective_dimension_mean,local_effective_dimension_median,local_effective_dimension_q10,local_effective_dimension_q90,velocity_tangent_alignment_mean,velocity_tangent_alignment_median,velocity_tangent_alignment_q10,velocity_tangent_alignment_zero_velocity_fraction,velocity_neighbor_direction_agreement_mean,velocity_neighbor_direction_agreement_median,velocity_neighbor_direction_agreement_q10,velocity_neighbor_direction_agreement_zero_velocity_fraction,velocity_smoothness_mean,velocity_smoothness_median,velocity_smoothness_zero_velocity_fraction,displacement_mean,displacement_median,displacement_q90,displacement_relative_to_local_scale_mean,displacement_relative_to_local_scale_q90,knn_overlap_mean,knn_overlap_median,knn_overlap_q10,pairwise_distance_correlation,trustworthiness
raw_pca_representation,ok,,0.7071446483692446,0.7102161314116509,0.7443116377259913,0.2928553516305497,0.2897838685881877,0.25568836227377467,1.2066670771001038,1.1754767795493044,1.0676609915206812,11.601830981768689,11.675076241239903,10.307428064460792,12.82675968627768,0.38023628286802713,0.36933157443514775,0.14515054446552636,0.0,0.31969742624871467,0.32105290557333027,0.12782197688039193,0.0,0.22215982858070552,0.23312763308464202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,1.0
pca_rank_10,ok,,0.5604498950665381,0.5629903341442313,0.6089371553581173,0.4395501049328605,0.43700966585516166,0.39106284464131447,1.291496734829352,1.2578127692305205,1.091819787302562,6.531894680226689,6.582535906951584,5.796054444533561,7.227194968903011,0.5434421503811635,0.5530193696244783,0.2504120586026451,0.0,0.5388351253119491,0.5595704937883585,0.2917177280536632,0.0,0.3066070977561989,0.3393663185201944,0.0,2.1262689719983685,2.0818880013409258,2.8172897634882856,0.672055594062357,0.8904684076104602,0.4083,0.4,0.24,0.9178831654993165,0.9446788582903041
pca_rank_20,ok,,0.6656262772116283,0.670080895033472,0.703930667623786,0.33437372278808447,0.3299191049662339,0.2960693323758798,1.2281627773337576,1.2008446825665096,1.0710991445330886,9.683265995974592,9.783350712141631,8.601823933018933,10.63786359532666,0.43395708556208507,0.4277546431944091,0.1741981092591717,0.0,0.3856973617567335,0.39552603065177266,0.1843280293940194,0.0,0.2419133604274563,0.25017961847848813,0.0,1.358827978849867,1.3174388218133029,1.8660981153240164,0.4294884403529734,0.5898226865879737,0.6643666666666667,0.68,0.52,0.9778710584503781,0.9889071428571429
pca_rank_30,ok,,0.7071446483692446,0.7102161314116509,0.7443116377259914,0.2928553516305497,0.2897838685881877,0.2556883622737746,1.2066670771001038,1.1754767795493053,1.0676609915206816,11.601830981768689,11.675076241239903,10.307428064460796,12.826759686277676,0.38023628286802724,0.36933157443514825,0.1451505444655261,0.0,0.3196974262487147,0.3210529055733302,0.12782197688039204,0.0,0.22215982858070546,0.23312763308464182,0.0,4.52960833646536e-15,4.397516814268231e-15,6.134672873442512e-15,1.4316855776585956e-15,1.9390026739960337e-15,1.0,1.0,1.0,0.9999999999999998,1.0
pca_90pct,ok,,0.684783335773165,0.6888292585107415,0.7221065407635459,0.3152166642265902,0.31117074148901713,0.2778934592361341,1.220690869555069,1.1981547651102917,1.067560539079541,10.53752493076868,10.631684523297185,9.332311530876462,11.638894123743533,0.41148731989694853,0.39421225998995546,0.17180603675887615,0.0,0.3548908413456325,0.3643035871211112,0.1502607938628288,0.0,0.24333686785747052,0.2572446373508328,0.0,0.9968823335401086,0.9729362760813455,1.4356901299391016,0.31508729972572846,0.45378246866804484,0.7602666666666666,0.76,0.64,0.9896662935687469,0.9951672690763053
pca_95pct,ok,,0.6976551903530791,0.7002473820022539,0.7340481164564668,0.3023448096466993,0.29975261799757125,0.2659518835432663,1.2131047423684114,1.1905245883165954,1.0660729383011154,11.13019398778029,11.20315991278155,9.86667835656939,12.256896754790576,0.40040564439746357,0.39118035427952436,0.1592120680789762,0.0,0.33762107592363405,0.34467976684401874,0.13635612011260778,0.0,0.2323551104641993,0.2474962776350281,0.0,0.6462748529456399,0.5920377488700193,1.079988642852971,0.20426984353524102,0.34135493604602585,0.848,0.84,0.76,0.9957821757530222,0.9980812679288583
local_pca_position,ok,,0.5693082512288343,0.5838195618763009,0.6442971832837803,0.43069174876960764,0.41618043812218186,0.35570281671434,1.3883872899034728,1.3283848368923439,1.1181838103654105,7.405153875229853,7.625619903382345,5.431107087058529,9.063819063562699,0.4061631427574453,0.3867569937709323,0.14652685189807227,0.0,0.37461507863931853,0.3729828803380963,0.1806386440708313,0.0,0.24807882971022016,0.24345700287519423,0.0,2.0564729052269852,2.0065433349922497,2.7258733668496684,0.6499949621597184,0.861574179477006,0.43060000000000004,0.44,0.32,0.817450946499996,0.9516213425129088
velocity_manifold_fitter,ok,,0.5443174244688972,0.5510091857237326,0.620208687224694,0.45568257553002545,0.44899081427517185,0.3797913127741021,1.4205303792152153,1.362032587179053,1.1311777077415877,6.832825889243401,6.879274972807662,5.1934867978503245,8.396006127012834,0.7043566149604682,0.7579109679691859,0.392797569031308,0.0,0.6218496410135782,0.6574181749020588,0.35699778085180534,0.0,0.26753303512577076,0.28681326024957465,0.0,1.8456503015183814,1.783924048693901,2.4725170863975743,0.583359690685105,0.7814951735699434,0.45063333333333333,0.44,0.32,0.847924723188966,0.9566288582903041
