dataset,dataset_label,seed,eta_g,theta,k,T,adaptive_variance_threshold,status,error,rmse_to_clean,mean_l2_to_clean,mean_distance_to_clean_cloud_approx,q90_distance_to_clean_cloud_approx,mean_local_dim,normal_energy_ratio_mean,normal_energy_ratio_median,normal_energy_ratio_q90,velocity_tangent_alignment_mean,velocity_tangent_alignment_median,velocity_tangent_alignment_q10,velocity_tangent_alignment_zero_velocity_fraction,velocity_neighbor_direction_agreement_mean,velocity_neighbor_direction_agreement_median,velocity_neighbor_direction_agreement_q10,velocity_neighbor_direction_agreement_zero_velocity_fraction,velocity_smoothness_mean,velocity_smoothness_median,velocity_smoothness_zero_velocity_fraction,displacement_mean,displacement_median,displacement_q90,displacement_relative_to_local_scale_mean,displacement_relative_to_local_scale_q90,knn_overlap_mean,knn_overlap_median,knn_overlap_q10
s_curve,S-curve velocity flow,42,0.2,0.05,15,3,0.8,ok,,0.8563630311080022,0.8400268580223915,0.7672015980738374,0.9388093298061025,4.0,0.5721129753053831,0.5756853521678342,0.6162028890312629,0.7209955071876776,0.759817014757851,0.4646831908261252,0.0,0.6280304509508963,0.6397656351778085,0.43060871639868326,0.0,0.13025868555339132,0.17416594749943784,0.0,0.4062638480314459,0.4066632343467167,0.5282811689146152,0.23961981840596266,0.31158725635073403,0.8419999999999999,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.05,15,3,0.9,ok,,0.8563630311080022,0.8400268580223915,0.7672015980738374,0.9388093298061025,4.0,0.5721129753053831,0.5756853521678342,0.6162028890312629,0.7209955071876776,0.759817014757851,0.4646831908261252,0.0,0.6280304509508963,0.6397656351778085,0.43060871639868326,0.0,0.13025868555339132,0.17416594749943784,0.0,0.4062638480314459,0.4066632343467167,0.5282811689146152,0.23961981840596266,0.31158725635073403,0.8419999999999999,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.05,25,3,0.8,ok,,0.83230603918069,0.8158699191475327,0.7423110572807115,0.9224487115503657,4.0,0.5665979535133894,0.5710080953196082,0.6104361388521495,0.7450335036632997,0.789333568991491,0.4651680270094515,0.0,0.6363979215866771,0.6573590041092453,0.4543827964675388,0.0,0.16203350088030605,0.20837108359495826,0.0,0.4294027243297249,0.4319492881374659,0.5441388119317631,0.25326743525293965,0.3209403050124044,0.838,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.05,25,3,0.9,ok,,0.83230603918069,0.8158699191475327,0.7423110572807115,0.9224487115503657,4.0,0.5665979535133894,0.5710080953196082,0.6104361388521495,0.7450335036632997,0.789333568991491,0.4651680270094515,0.0,0.6363979215866771,0.6573590041092453,0.4543827964675388,0.0,0.16203350088030605,0.20837108359495826,0.0,0.4294027243297249,0.4319492881374659,0.5441388119317631,0.25326743525293965,0.3209403050124044,0.838,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.15,15,3,0.8,ok,,0.8490215803332117,0.832837870757438,0.7613380625385612,0.9308054562142338,4.0,0.5747028497760482,0.573819697661603,0.62026981235929,0.7184430519336189,0.7686805437650787,0.500261868565108,0.0,0.6508921018803722,0.6641269044542732,0.4479367329237045,0.0,0.13582908681337943,0.18359742681663954,0.0,0.4127634870575131,0.41153288363346097,0.5322228878116538,0.2434533919091851,0.31391213455708294,0.8428,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.15,15,3,0.9,ok,,0.8490215803332117,0.832837870757438,0.7613380625385612,0.9308054562142338,4.0,0.5747028497760482,0.573819697661603,0.62026981235929,0.7184430519336189,0.7686805437650787,0.500261868565108,0.0,0.6508921018803722,0.6641269044542732,0.4479367329237045,0.0,0.13582908681337943,0.18359742681663954,0.0,0.4127634870575131,0.41153288363346097,0.5322228878116538,0.2434533919091851,0.31391213455708294,0.8428,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.15,25,3,0.8,ok,,0.8222415240365946,0.8054438147102658,0.7312690435812482,0.9126675540410882,4.0,0.5624200814193037,0.5652136837023598,0.6071455190405867,0.730918101010048,0.8121826619156748,0.3534112214522441,0.0,0.6413962342070607,0.6655248678933687,0.4765843492432752,0.0,0.16715194564516608,0.20933850432334125,0.0,0.44007397175851937,0.43867701539634774,0.5473854177030669,0.25956147884909764,0.3228551962564202,0.8412000000000001,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.15,25,3,0.9,ok,,0.8222415240365946,0.8054438147102658,0.7312690435812482,0.9126675540410882,4.0,0.5624200814193037,0.5652136837023598,0.6071455190405867,0.730918101010048,0.8121826619156748,0.3534112214522441,0.0,0.6413962342070607,0.6655248678933687,0.4765843492432752,0.0,0.16715194564516608,0.20933850432334125,0.0,0.44007397175851937,0.43867701539634774,0.5473854177030669,0.25956147884909764,0.3228551962564202,0.8412000000000001,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.3,15,3,0.8,ok,,0.8430104517085856,0.8270832017775684,0.7542019544356913,0.9502003442743502,4.0,0.5706009000016289,0.5728739991424283,0.6197230473930716,0.7281620896670941,0.7648039618790423,0.45949095823178987,0.0,0.6720557576381982,0.6855111110265635,0.5128694796911057,0.0,0.14643893616328632,0.18214788116426645,0.0,0.41945138925280717,0.4103614166350666,0.545587334244498,0.24739800553237207,0.32179466272898777,0.8424,0.84,0.76
s_curve,S-curve velocity flow,42,0.2,0.3,15,3,0.9,ok,,0.8430104517085856,0.8270832017775684,0.7542019544356913,0.9502003442743502,4.0,0.5706009000016289,0.5728739991424283,0.6197230473930716,0.7281620896670941,0.7648039618790423,0.45949095823178987,0.0,0.6720557576381982,0.6855111110265635,0.5128694796911057,0.0,0.14643893616328632,0.18214788116426645,0.0,0.41945138925280717,0.4103614166350666,0.545587334244498,0.24739800553237207,0.32179466272898777,0.8424,0.84,0.76
