dataset,eta_g,theta,k,T,adaptive_variance_threshold,rmse_to_clean_mean,rmse_to_clean_std,rmse_to_clean_count,mean_l2_to_clean_mean,mean_l2_to_clean_std,mean_l2_to_clean_count,mean_distance_to_clean_cloud_approx_mean,mean_distance_to_clean_cloud_approx_std,mean_distance_to_clean_cloud_approx_count,q90_distance_to_clean_cloud_approx_mean,q90_distance_to_clean_cloud_approx_std,q90_distance_to_clean_cloud_approx_count,mean_local_dim_mean,mean_local_dim_std,mean_local_dim_count,normal_energy_ratio_mean_mean,normal_energy_ratio_mean_std,normal_energy_ratio_mean_count,normal_energy_ratio_median_mean,normal_energy_ratio_median_std,normal_energy_ratio_median_count,normal_energy_ratio_q90_mean,normal_energy_ratio_q90_std,normal_energy_ratio_q90_count,velocity_tangent_alignment_mean_mean,velocity_tangent_alignment_mean_std,velocity_tangent_alignment_mean_count,velocity_tangent_alignment_median_mean,velocity_tangent_alignment_median_std,velocity_tangent_alignment_median_count,velocity_tangent_alignment_q10_mean,velocity_tangent_alignment_q10_std,velocity_tangent_alignment_q10_count,velocity_tangent_alignment_zero_velocity_fraction_mean,velocity_tangent_alignment_zero_velocity_fraction_std,velocity_tangent_alignment_zero_velocity_fraction_count,velocity_neighbor_direction_agreement_mean_mean,velocity_neighbor_direction_agreement_mean_std,velocity_neighbor_direction_agreement_mean_count,velocity_neighbor_direction_agreement_median_mean,velocity_neighbor_direction_agreement_median_std,velocity_neighbor_direction_agreement_median_count,velocity_neighbor_direction_agreement_q10_mean,velocity_neighbor_direction_agreement_q10_std,velocity_neighbor_direction_agreement_q10_count,velocity_neighbor_direction_agreement_zero_velocity_fraction_mean,velocity_neighbor_direction_agreement_zero_velocity_fraction_std,velocity_neighbor_direction_agreement_zero_velocity_fraction_count,velocity_smoothness_mean_mean,velocity_smoothness_mean_std,velocity_smoothness_mean_count,velocity_smoothness_median_mean,velocity_smoothness_median_std,velocity_smoothness_median_count,velocity_smoothness_zero_velocity_fraction_mean,velocity_smoothness_zero_velocity_fraction_std,velocity_smoothness_zero_velocity_fraction_count,displacement_mean_mean,displacement_mean_std,displacement_mean_count,displacement_median_mean,displacement_median_std,displacement_median_count,displacement_q90_mean,displacement_q90_std,displacement_q90_count,displacement_relative_to_local_scale_mean_mean,displacement_relative_to_local_scale_mean_std,displacement_relative_to_local_scale_mean_count,displacement_relative_to_local_scale_q90_mean,displacement_relative_to_local_scale_q90_std,displacement_relative_to_local_scale_q90_count,knn_overlap_mean_mean,knn_overlap_mean_std,knn_overlap_mean_count,knn_overlap_median_mean,knn_overlap_median_std,knn_overlap_median_count,knn_overlap_q10_mean,knn_overlap_q10_std,knn_overlap_q10_count,failure_count,balanced_rank
half_sphere_rotation,0.2,0.05,15,3,0.8,0.8604859051697686,0.010895227082928052,2,0.8449812160331377,0.009017166314344046,2,0.76592535081938,0.01648006470229199,2,0.9470668010330399,0.04392972874308704,2,4.0,0.0,2,0.5441369612393763,0.02144326215327893,2,0.5424534544090159,0.018824099450464593,2,0.6004133492752943,0.030428928285502227,2,0.7757354908212695,0.00542601000421769,2,0.8201147904136659,0.002871206520678138,2,0.5661286756474362,0.049725906089089306,2,0.0,0.0,2,0.6476450136666179,0.02011334641739094,2,0.6727928710018269,0.025634885977998685,2,0.4467632530136725,0.00015906867501392144,2,0.0,0.0,2,0.29919153288810596,0.06075146998221025,2,0.31663306642054584,0.08154160092250577,2,0.0,0.0,2,0.4166850695553298,0.009910329151595933,2,0.4137087578763972,0.0039681208326567755,2,0.5431880203900694,0.030961163002764608,2,0.24410876847241697,0.004033822510161938,2,0.31818027229764356,0.015829086974493794,2,0.8486,0.011596551211459319,2,0.86,0.028284271247461926,2,0.78,0.028284271247461926,2,0,21.1
half_sphere_rotation,0.2,0.05,15,3,0.9,0.8604859051697686,0.010895227082928052,2,0.8449812160331377,0.009017166314344046,2,0.76592535081938,0.01648006470229199,2,0.9470668010330399,0.04392972874308704,2,4.0,0.0,2,0.5441369612393763,0.02144326215327893,2,0.5424534544090159,0.018824099450464593,2,0.6004133492752943,0.030428928285502227,2,0.7757354908212695,0.00542601000421769,2,0.8201147904136659,0.002871206520678138,2,0.5661286756474362,0.049725906089089306,2,0.0,0.0,2,0.6476450136666179,0.02011334641739094,2,0.6727928710018269,0.025634885977998685,2,0.4467632530136725,0.00015906867501392144,2,0.0,0.0,2,0.29919153288810596,0.06075146998221025,2,0.31663306642054584,0.08154160092250577,2,0.0,0.0,2,0.4166850695553298,0.009910329151595933,2,0.4137087578763972,0.0039681208326567755,2,0.5431880203900694,0.030961163002764608,2,0.24410876847241697,0.004033822510161938,2,0.31818027229764356,0.015829086974493794,2,0.8486,0.011596551211459319,2,0.86,0.028284271247461926,2,0.78,0.028284271247461926,2,0,21.1
half_sphere_rotation,0.2,0.05,25,3,0.8,0.8374039265927264,0.01029432642975734,2,0.8217313706009732,0.007809993644727015,2,0.7426148428151002,0.016033542154564106,2,0.9141918250383011,0.03319958942788014,2,4.0,0.0,2,0.5344162272126068,0.019845959382605482,2,0.5368837687993201,0.020582109547433655,2,0.5841800269307594,0.027173678462496673,2,0.8136322533600401,0.010515339132382269,2,0.8541938962179201,0.008757922843755126,2,0.6076836630437393,0.04293887129076646,2,0.0,0.0,2,0.6524690958654161,0.016608348608927063,2,0.6748550334347323,0.007782974271585824,2,0.46495407612649486,0.034728461802820056,2,0.0,0.0,2,0.35271366425060613,0.06003183843800322,2,0.3857301117492483,0.07114834250975045,2,0.0,0.0,2,0.4364322412594285,0.01249673130141865,2,0.43602936883352433,0.009120310175781582,2,0.565578403213781,0.030987513135393174,2,0.2556728540568956,0.005465158016031491,2,0.33129842261046966,0.01574928075819424,2,0.8440000000000001,0.0073539105243401875,2,0.84,0.0,2,0.8,0.0,2,0,17.3
half_sphere_rotation,0.2,0.05,25,3,0.9,0.8374039265927264,0.01029432642975734,2,0.8217313706009732,0.007809993644727015,2,0.7426148428151002,0.016033542154564106,2,0.9141918250383011,0.03319958942788014,2,4.0,0.0,2,0.5344162272126068,0.019845959382605482,2,0.5368837687993201,0.020582109547433655,2,0.5841800269307594,0.027173678462496673,2,0.8136322533600401,0.010515339132382269,2,0.8541938962179201,0.008757922843755126,2,0.6076836630437393,0.04293887129076646,2,0.0,0.0,2,0.6524690958654161,0.016608348608927063,2,0.6748550334347323,0.007782974271585824,2,0.46495407612649486,0.034728461802820056,2,0.0,0.0,2,0.35271366425060613,0.06003183843800322,2,0.3857301117492483,0.07114834250975045,2,0.0,0.0,2,0.4364322412594285,0.01249673130141865,2,0.43602936883352433,0.009120310175781582,2,0.565578403213781,0.030987513135393174,2,0.2556728540568956,0.005465158016031491,2,0.33129842261046966,0.01574928075819424,2,0.8440000000000001,0.0073539105243401875,2,0.84,0.0,2,0.8,0.0,2,0,17.3
half_sphere_rotation,0.2,0.15,15,3,0.8,0.8534581168673532,0.01320061230356638,2,0.8383531680822637,0.011226066946209201,2,0.7593600020217013,0.018881434531649127,2,0.9325874416026907,0.04250882081220223,2,4.0,0.0,2,0.5452564901502637,0.02178290361559998,2,0.5428955250342623,0.019910854222940023,2,0.59938679719235,0.02660035527007454,2,0.7723018210966587,0.014794191549503198,2,0.8216726274916769,0.019462687261038766,2,0.57153516680643,0.020351055554390228,2,0.0,0.0,2,0.6514032256314408,0.015522223745954574,2,0.6694397909892273,0.014805930759583802,2,0.4361493350687906,0.009970879778263237,2,0.0,0.0,2,0.3047879281745194,0.04918508474916834,2,0.3261535396692039,0.05129586006973701,2,0.0,0.0,2,0.4223602174406628,0.011929850691339014,2,0.4205997264085058,0.009575457542966216,2,0.5557878716320344,0.04271819513404506,2,0.24742946145072195,0.005192890425284411,2,0.32553733958485154,0.022663767282704837,2,0.845,0.011596551211459477,2,0.84,0.0,2,0.76,0.0,2,0,21.5
half_sphere_rotation,0.2,0.15,15,3,0.9,0.8534581168673532,0.01320061230356638,2,0.8383531680822637,0.011226066946209201,2,0.7593600020217013,0.018881434531649127,2,0.9325874416026907,0.04250882081220223,2,4.0,0.0,2,0.5452564901502637,0.02178290361559998,2,0.5428955250342623,0.019910854222940023,2,0.59938679719235,0.02660035527007454,2,0.7723018210966587,0.014794191549503198,2,0.8216726274916769,0.019462687261038766,2,0.57153516680643,0.020351055554390228,2,0.0,0.0,2,0.6514032256314408,0.015522223745954574,2,0.6694397909892273,0.014805930759583802,2,0.4361493350687906,0.009970879778263237,2,0.0,0.0,2,0.3047879281745194,0.04918508474916834,2,0.3261535396692039,0.05129586006973701,2,0.0,0.0,2,0.4223602174406628,0.011929850691339014,2,0.4205997264085058,0.009575457542966216,2,0.5557878716320344,0.04271819513404506,2,0.24742946145072195,0.005192890425284411,2,0.32553733958485154,0.022663767282704837,2,0.845,0.011596551211459477,2,0.84,0.0,2,0.76,0.0,2,0,21.5
half_sphere_rotation,0.2,0.15,25,3,0.8,0.8241905590218117,0.011450705266877489,2,0.8089079953228695,0.008479170815682406,2,0.7298112573463698,0.016374748658475848,2,0.8996316654622676,0.02165667777479444,2,4.0,0.0,2,0.5317195316849022,0.01804904498169089,2,0.5315477497344211,0.019673931414556905,2,0.5771044551373412,0.021793177056425795,2,0.8119231159642727,0.00755260900860486,2,0.8543407359431358,0.035663471530032534,2,0.6166634889278881,0.004132041378747584,2,0.0,0.0,2,0.6609962653943873,0.017358873264902,2,0.6808590995824949,0.0024790250598176644,2,0.49282823749866156,0.06368028338226862,2,0.0,0.0,2,0.3634009926363695,0.05699043666225116,2,0.39064782702540907,0.05533111592432845,2,0.0,0.0,2,0.4464279545706699,0.011640710022913382,2,0.4456857967618696,0.006263675328017536,2,0.577275403234969,0.023203032102279784,2,0.2615310207771697,0.0049211074999261865,2,0.33816808514800545,0.011138707417611323,2,0.8413999999999999,0.004808326112068465,2,0.84,0.0,2,0.778,0.02545584412271573,2,0,18.3
half_sphere_rotation,0.2,0.15,25,3,0.9,0.8241905590218117,0.011450705266877489,2,0.8089079953228695,0.008479170815682406,2,0.7298112573463698,0.016374748658475848,2,0.8996316654622676,0.02165667777479444,2,4.0,0.0,2,0.5317195316849022,0.01804904498169089,2,0.5315477497344211,0.019673931414556905,2,0.5771044551373412,0.021793177056425795,2,0.8119231159642727,0.00755260900860486,2,0.8543407359431358,0.035663471530032534,2,0.6166634889278881,0.004132041378747584,2,0.0,0.0,2,0.6609962653943873,0.017358873264902,2,0.6808590995824949,0.0024790250598176644,2,0.49282823749866156,0.06368028338226862,2,0.0,0.0,2,0.3634009926363695,0.05699043666225116,2,0.39064782702540907,0.05533111592432845,2,0.0,0.0,2,0.4464279545706699,0.011640710022913382,2,0.4456857967618696,0.006263675328017536,2,0.577275403234969,0.023203032102279784,2,0.2615310207771697,0.0049211074999261865,2,0.33816808514800545,0.011138707417611323,2,0.8413999999999999,0.004808326112068465,2,0.84,0.0,2,0.778,0.02545584412271573,2,0,18.3
half_sphere_rotation,0.2,0.3,15,3,0.8,0.8472420988157978,0.012547369832272878,2,0.832298902767054,0.010238764988848521,2,0.7528570461730225,0.017805545174069258,2,0.9284298884355001,0.032153744833304354,2,4.0,0.0,2,0.5417377015989852,0.01906915482593104,2,0.5390755613021442,0.015703088888039837,2,0.5929677488974027,0.02769696005011964,2,0.7701899698311206,0.012058694660407187,2,0.8058535394729147,0.026996164636562302,2,0.550010146658461,0.037596945101330555,2,0.0,0.0,2,0.6866808088655264,0.008750051747890179,2,0.7149857080971805,0.009514067151442443,2,0.5077226555777856,0.003502732064097487,2,0.0,0.0,2,0.30122379289019896,0.04747436864977642,2,0.32395478995431326,0.06455935316752394,2,0.0,0.0,2,0.4280588574642177,0.011883888700570649,2,0.43053566546598576,0.011801934817570886,2,0.5488885054200101,0.029321804459203744,2,0.25076831122308796,0.005141721030582337,2,0.32152359203426106,0.014844361388315389,2,0.8421999999999998,0.0059396969619668555,2,0.84,0.0,2,0.76,0.0,2,0,22.3
half_sphere_rotation,0.2,0.3,15,3,0.9,0.8472420988157978,0.012547369832272878,2,0.832298902767054,0.010238764988848521,2,0.7528570461730225,0.017805545174069258,2,0.9284298884355001,0.032153744833304354,2,4.0,0.0,2,0.5417377015989852,0.01906915482593104,2,0.5390755613021442,0.015703088888039837,2,0.5929677488974027,0.02769696005011964,2,0.7701899698311206,0.012058694660407187,2,0.8058535394729147,0.026996164636562302,2,0.550010146658461,0.037596945101330555,2,0.0,0.0,2,0.6866808088655264,0.008750051747890179,2,0.7149857080971805,0.009514067151442443,2,0.5077226555777856,0.003502732064097487,2,0.0,0.0,2,0.30122379289019896,0.04747436864977642,2,0.32395478995431326,0.06455935316752394,2,0.0,0.0,2,0.4280588574642177,0.011883888700570649,2,0.43053566546598576,0.011801934817570886,2,0.5488885054200101,0.029321804459203744,2,0.25076831122308796,0.005141721030582337,2,0.32152359203426106,0.014844361388315389,2,0.8421999999999998,0.0059396969619668555,2,0.84,0.0,2,0.76,0.0,2,0,22.3
